1, 22, 0, 0, 0, 0, 0, 记忆位置1
2, 0, 0, 0, 1, 10, 240, 等待:持续2800
3, 12, 0, 0, 0, 0, 0, 头部按摩1档
4, 0, 0, 0, 1, 23, 112, 等待:持续6000
5, 21, 0, 0, 0, 0, 0, 按摩停止
6, 0, 0, 0, 1, 1, 244, 等待:持续500
7, 2, 0, 0, 0, 0, 0, M1降
8, 0, 0, 0, 1, 0, 10, 等待:持续10
9, 3, 0, 0, 0, 0, 0, M2升
10, 0, 0, 0, 1, 1, 244, 等待:持续500
11, 1, 0, 0, 0, 0, 0, M1升
12, 0, 0, 0, 1, 0, 10, 等待:持续10
13, 4, 0, 0, 0, 0, 0, M2降
14, 0, 0, 0, 1, 2, 188, 等待:持续700
15, 2, 0, 0, 0, 0, 0, M1降
16, 0, 0, 0, 1, 0, 10, 等待:持续10
17, 3, 0, 0, 0, 0, 0, M2升
18, 0, 0, 0, 1, 2, 88, 等待:持续600
19, 1, 0, 0, 0, 0, 0, M1升
20, 0, 0, 0, 1, 0, 10, 等待:持续10
21, 4, 0, 0, 0, 0, 0, M2降
22, 0, 0, 0, 1, 2, 88, 等待:持续600
23, 2, 0, 0, 0, 0, 0, M1降
24, 0, 0, 0, 1, 0, 10, 等待:持续10
25, 3, 0, 0, 0, 0, 0, M2升
26, 0, 0, 0, 1, 2, 88, 等待:持续600
27, 1, 0, 0, 0, 0, 0, M1升
28, 0, 0, 0, 1, 0, 10, 等待:持续10
29, 4, 0, 0, 0, 0, 0, M2降
30, 0, 0, 0, 1, 2, 88, 等待:持续600
31, 27, 0, 0, 0, 0, 0, 放平
32, 0, 0, 0, 1, 6, 164, 等待:持续1700
33, 12, 0, 0, 0, 0, 0, 头部按摩1档
34, 17, 0, 0, 0, 0, 0, 脚部按摩3档
35, 18, 0, 0, 0, 0, 0, 按摩模式1
36, 0, 0, 0, 1, 23, 112, 等待:持续6000
37, 19, 0, 0, 0, 0, 0, 按摩模式2
38, 0, 0, 0, 1, 23, 112, 等待:持续6000
39, 20, 0, 0, 0, 0, 0, 按摩模式3
40, 0, 0, 0, 1, 23, 112, 等待:持续6000
41, 21, 0, 0, 0, 0, 0, 按摩停止
42, 16, 0, 0, 0, 0, 0, 脚部按摩2档
43, 1, 85, 1, 1, 3, 232, M1升:持续1000
44, 0, 0, 0, 1, 21, 124, 等待:持续5500
45, 15, 0, 0, 0, 0, 0, 脚部按摩1档
46, 0, 0, 0, 1, 35, 40, 等待:持续9000
47, 21, 0, 0, 0, 0, 0, 按摩停止
48, 27, 85, 1, 2, 0, 0, 放平
49, 22, 0, 0, 0, 0, 0, 记忆位置1
50, 0, 0, 0, 1, 58, 152, 等待:持续15000
51, 25, 0, 0, 0, 0, 0, 记忆位置4
52, 0, 0, 0, 1, 91, 204, 等待:持续23500
53, 27, 85, 1, 0, 0, 0, 放平
